"Name","Child Poverty by Poverty Level"
"Description","Poverty level is the ratio of household income to the Federal Poverty Level (FPL).&nbsp;The FPL varies based on the number of children and adults in a household and the age of the head of household. In 2019,&nbsp;<a href=""https://aspe.hhs.gov/2019-poverty-guidelines"" target=""_blank"">the annual income thresholds for a family of four</a>&nbsp;would correspond to the following breakdown of poverty levels:<br />
Below 100% FPL = Below $25,750<br />
100 to 199% FPL = $25,750 to $51,499<br />
Below 200% FPL = Below $51,500<br />
200 to 399% FPL = $51,500 to $102,999<br />
400% FPL and above = $103,000 and above"
"Source Notes","CCC Analysis of U.S. Census Bureau, American Community Survey Combined 3-Year Estimates, Public Use Microdata Sample Files (2005-2019). Retrieved from&nbsp;<a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a>."
"Notes","The Census Bureau excludes institutionalized individuals, individuals living in military group quarters or college dorms, and unrelated individuals under 15 years of age from poverty estimates. Percents refer to the percent of the total population for whom poverty status was determined."

Location,Poverty Level,TimeFrame,DataFormat,Data,Fips
Rego Park/Forest Hills,100 to 199% FPL,2014,Number,1695,406
Flushing,100 to 199% FPL,2014,Number,11167,407
Fresh Meadows/Briarwood,100 to 199% FPL,2014,Number,3630,408
Woodhaven,100 to 199% FPL,2014,Number,8754,409
Howard Beach,100 to 199% FPL,2014,Number,7042,410
Bayside,100 to 199% FPL,2014,Number,4619,411
Jamaica/St. Albans,100 to 199% FPL,2014,Number,15282,412
Queens Village,100 to 199% FPL,2014,Number,6032,413
The Rockaways,100 to 199% FPL,2014,Number,7812,414
St. George,100 to 199% FPL,2014,Number,7716,501
South Beach,100 to 199% FPL,2014,Number,4690,502
Tottenville,100 to 199% FPL,2014,Number,4337,503
Battery Park/Tribeca,100 to 199% FPL,2014,Number,312.1713,101
Greenwich Village,100 to 199% FPL,2014,Number,460.8287,102
Chelsea/Clinton,100 to 199% FPL,2014,Number,835.06103,104
Midtown Business District,100 to 199% FPL,2014,Number,417.93897,105
Mott Haven,100 to 199% FPL,2014,Number,9005.65284,201
Hunts Point,100 to 199% FPL,2014,Number,5142.34716,202
Morrisania,100 to 199% FPL,2014,Number,6989.87729,203
East Tremont,100 to 199% FPL,2014,Number,7297.12271,206
Lower East Side,Below 200% FPL,2014,Number,11400,103
Murray Hill/Stuyvesant,Below 200% FPL,2014,Number,1169,106
Upper West Side,Below 200% FPL,2014,Number,2855,107
Upper East Side,Below 200% FPL,2014,Number,4006,108
Manhattanville,Below 200% FPL,2014,Number,11497,109
Central Harlem,Below 200% FPL,2014,Number,18898,110
East Harlem,Below 200% FPL,2014,Number,18717,111
Washington Heights,Below 200% FPL,2014,Number,25408,112
Concourse/Highbridge,Below 200% FPL,2014,Number,30387,204
University Heights,Below 200% FPL,2014,Number,28518,205
Bedford Park,Below 200% FPL,2014,Number,26038,207
Riverdale,Below 200% FPL,2014,Number,10181,208
Unionport/Soundview,Below 200% FPL,2014,Number,31719,209
Throgs Neck,Below 200% FPL,2014,Number,9086,210
Pelham Parkway,Below 200% FPL,2014,Number,16352,211
Williamsbridge,Below 200% FPL,2014,Number,19489,212
Williamsburg/Greenpoint,Below 200% FPL,2014,Number,21732,301
Fort Greene/Brooklyn Hts,Below 200% FPL,2014,Number,8358,302
Bedford Stuyvesant,Below 200% FPL,2014,Number,24746,303
Bushwick,Below 200% FPL,2014,Number,19768,304
East New York,Below 200% FPL,2014,Number,27664,305
Park Slope,Below 200% FPL,2014,Number,3749,306
Sunset Park,Below 200% FPL,2014,Number,24166,307
Crown Heights North,Below 200% FPL,2014,Number,15535,308
Crown Heights South,Below 200% FPL,2014,Number,14031,309
Bay Ridge,Below 200% FPL,2014,Number,12811,310
Bensonhurst,Below 200% FPL,2014,Number,19635,311
Borough Park,Below 200% FPL,2014,Number,41948,312
Coney Island,Below 200% FPL,2014,Number,11585,313
Flatbush/Midwood,Below 200% FPL,2014,Number,21573,314
Sheepshead Bay,Below 200% FPL,2014,Number,15534,315
Brownsville,Below 200% FPL,2014,Number,25421,316
East Flatbush,Below 200% FPL,2014,Number,15760,317
Canarsie,Below 200% FPL,2014,Number,18645,318
Astoria,Below 200% FPL,2014,Number,12570,401
Sunnyside/Woodside,Below 200% FPL,2014,Number,12855,402
Jackson Heights,Below 200% FPL,2014,Number,21648,403
Elmhurst/Corona,Below 200% FPL,2014,Number,21189,404
Ridgewood/Glendale,Below 200% FPL,2014,Number,12770,405
Rego Park/Forest Hills,Below 200% FPL,2014,Number,4075,406
Flushing,Below 200% FPL,2014,Number,19544,407
Fresh Meadows/Briarwood,Below 200% FPL,2014,Number,11013,408
Woodhaven,Below 200% FPL,2014,Number,16672,409
Howard Beach,Below 200% FPL,2014,Number,13300,410
Bayside,Below 200% FPL,2014,Number,6567,411
Jamaica/St. Albans,Below 200% FPL,2014,Number,29423,412
Queens Village,Below 200% FPL,2014,Number,11349,413
The Rockaways,Below 200% FPL,2014,Number,15880,414
St. George,Below 200% FPL,2014,Number,21861,501
South Beach,Below 200% FPL,2014,Number,7944,502
Tottenville,Below 200% FPL,2014,Number,7489,503
Battery Park/Tribeca,Below 200% FPL,2014,Number,642.91943,101
Greenwich Village,Below 200% FPL,2014,Number,949.08057,102
Chelsea/Clinton,Below 200% FPL,2014,Number,2137.30306,104
Midtown Business District,Below 200% FPL,2014,Number,1069.69694,105
Mott Haven,Below 200% FPL,2014,Number,24869.3,201
Hunts Point,Below 200% FPL,2014,Number,14200.7,202
Morrisania,Below 200% FPL,2014,Number,19371.74992,203
East Tremont,Below 200% FPL,2014,Number,20223.25008,206
Lower East Side,200 to 399% FPL,2014,Number,3730,103
Murray Hill/Stuyvesant,200 to 399% FPL,2014,Number,756,106
Upper West Side,200 to 399% FPL,2014,Number,2779,107
Upper East Side,200 to 399% FPL,2014,Number,2388,108
Manhattanville,200 to 399% FPL,2014,Number,3411,109
Central Harlem,200 to 399% FPL,2014,Number,6664,110
East Harlem,200 to 399% FPL,2014,Number,4105,111
Washington Heights,200 to 399% FPL,2014,Number,7162,112
Concourse/Highbridge,200 to 399% FPL,2014,Number,6773,204
University Heights,200 to 399% FPL,2014,Number,5744,205
Bedford Park,200 to 399% FPL,2014,Number,6847,207
Riverdale,200 to 399% FPL,2014,Number,6173,208
Unionport/Soundview,200 to 399% FPL,2014,Number,8423,209
Throgs Neck,200 to 399% FPL,2014,Number,7999,210
Pelham Parkway,200 to 399% FPL,2014,Number,8585,211
Williamsbridge,200 to 399% FPL,2014,Number,8975,212
Williamsburg/Greenpoint,200 to 399% FPL,2014,Number,5031,301
Fort Greene/Brooklyn Hts,200 to 399% FPL,2014,Number,4122,302
Bedford Stuyvesant,200 to 399% FPL,2014,Number,6502,303
Bushwick,200 to 399% FPL,2014,Number,9989,304
East New York,200 to 399% FPL,2014,Number,10485,305
Park Slope,200 to 399% FPL,2014,Number,3011,306
Sunset Park,200 to 399% FPL,2014,Number,6718,307
Crown Heights North,200 to 399% FPL,2014,Number,5865,308
Crown Heights South,200 to 399% FPL,2014,Number,7586,309
Bay Ridge,200 to 399% FPL,2014,Number,5679,310
Bensonhurst,200 to 399% FPL,2014,Number,11705,311
Borough Park,200 to 399% FPL,2014,Number,9716,312
Coney Island,200 to 399% FPL,2014,Number,3909,313
Flatbush/Midwood,200 to 399% FPL,2014,Number,10071,314
Sheepshead Bay,200 to 399% FPL,2014,Number,7957,315
Brownsville,200 to 399% FPL,2014,Number,8054,316
East Flatbush,200 to 399% FPL,2014,Number,9698,317
Canarsie,200 to 399% FPL,2014,Number,13617,318
Astoria,200 to 399% FPL,2014,Number,5832,401
Sunnyside/Woodside,200 to 399% FPL,2014,Number,6221,402
Jackson Heights,200 to 399% FPL,2014,Number,11385,403
Elmhurst/Corona,200 to 399% FPL,2014,Number,8768,404
Ridgewood/Glendale,200 to 399% FPL,2014,Number,11036,405
Rego Park/Forest Hills,200 to 399% FPL,2014,Number,4776,406
Flushing,200 to 399% FPL,2014,Number,12215,407
Fresh Meadows/Briarwood,200 to 399% FPL,2014,Number,10343,408
Woodhaven,200 to 399% FPL,2014,Number,11261,409
Howard Beach,200 to 399% FPL,2014,Number,7630,410
Bayside,200 to 399% FPL,2014,Number,7205,411
Jamaica/St. Albans,200 to 399% FPL,2014,Number,17827,412
Queens Village,200 to 399% FPL,2014,Number,14399,413
The Rockaways,200 to 399% FPL,2014,Number,7702,414
St. George,200 to 399% FPL,2014,Number,10093,501
South Beach,200 to 399% FPL,2014,Number,6790,502
Tottenville,200 to 399% FPL,2014,Number,11670,503
Battery Park/Tribeca,200 to 399% FPL,2014,Number,916.72557,101
Greenwich Village,200 to 399% FPL,2014,Number,1353.27443,102
Chelsea/Clinton,200 to 399% FPL,2014,Number,1080.31439,104
Midtown Business District,200 to 399% FPL,2014,Number,540.68561,105
Mott Haven,200 to 399% FPL,2014,Number,3874.56947,201
Hunts Point,200 to 399% FPL,2014,Number,2212.43053,202
Morrisania,200 to 399% FPL,2014,Number,3871.4145,203
East Tremont,200 to 399% FPL,2014,Number,4041.5855,206
Lower East Side,400% FPL and above,2014,Number,3323,103
Murray Hill/Stuyvesant,400% FPL and above,2014,Number,8351,106
Upper West Side,400% FPL and above,2014,Number,21574,107
Upper East Side,400% FPL and above,2014,Number,26461,108
Manhattanville,400% FPL and above,2014,Number,5415,109
Central Harlem,400% FPL and above,2014,Number,5419,110
East Harlem,400% FPL and above,2014,Number,2932,111
Washington Heights,400% FPL and above,2014,Number,5262,112
Concourse/Highbridge,400% FPL and above,2014,Number,1434,204
University Heights,400% FPL and above,2014,Number,1276,205
Bedford Park,400% FPL and above,2014,Number,1590,207
Riverdale,400% FPL and above,2014,Number,6591,208
Unionport/Soundview,400% FPL and above,2014,Number,3711,209
Throgs Neck,400% FPL and above,2014,Number,7279,210
Pelham Parkway,400% FPL and above,2014,Number,5089,211
Williamsbridge,400% FPL and above,2014,Number,4826,212
Williamsburg/Greenpoint,400% FPL and above,2014,Number,5344,301
Fort Greene/Brooklyn Hts,400% FPL and above,2014,Number,10995,302
Bedford Stuyvesant,400% FPL and above,2014,Number,4518,303
Bushwick,400% FPL and above,2014,Number,1944,304
East New York,400% FPL and above,2014,Number,3281,305
Park Slope,400% FPL and above,2014,Number,16012,306
Sunset Park,400% FPL and above,2014,Number,5592,307
Crown Heights North,400% FPL and above,2014,Number,4325,308
Crown Heights South,400% FPL and above,2014,Number,2963,309
Bay Ridge,400% FPL and above,2014,Number,8288,310
Bensonhurst,400% FPL and above,2014,Number,6511,311
Borough Park,400% FPL and above,2014,Number,5342,312
Coney Island,400% FPL and above,2014,Number,4250,313
Flatbush/Midwood,400% FPL and above,2014,Number,7085,314
Sheepshead Bay,400% FPL and above,2014,Number,8798,315
Brownsville,400% FPL and above,2014,Number,2188,316
East Flatbush,400% FPL and above,2014,Number,4069,317
Canarsie,400% FPL and above,2014,Number,14631,318
Astoria,400% FPL and above,2014,Number,6363,401
Sunnyside/Woodside,400% FPL and above,2014,Number,6664,402
Jackson Heights,400% FPL and above,2014,Number,4724,403
Elmhurst/Corona,400% FPL and above,2014,Number,2393,404
Ridgewood/Glendale,400% FPL and above,2014,Number,8865,405
Rego Park/Forest Hills,400% FPL and above,2014,Number,10742,406
Flushing,400% FPL and above,2014,Number,11242,407
Fresh Meadows/Briarwood,400% FPL and above,2014,Number,11431,408
Woodhaven,400% FPL and above,2014,Number,7197,409
Howard Beach,400% FPL and above,2014,Number,7833,410
Bayside,400% FPL and above,2014,Number,9611,411
Jamaica/St. Albans,400% FPL and above,2014,Number,9631,412
Queens Village,400% FPL and above,2014,Number,12661,413
The Rockaways,400% FPL and above,2014,Number,7331,414
St. George,400% FPL and above,2014,Number,11133,501
South Beach,400% FPL and above,2014,Number,12341,502
Tottenville,400% FPL and above,2014,Number,15807,503
Battery Park/Tribeca,400% FPL and above,2014,Number,6427.5789,101
Greenwich Village,400% FPL and above,2014,Number,9488.4211,102
Chelsea/Clinton,400% FPL and above,2014,Number,4479.20606,104
Midtown Business District,400% FPL and above,2014,Number,2241.79394,105
Mott Haven,400% FPL and above,2014,Number,952.8882,201
Hunts Point,400% FPL and above,2014,Number,544.1118,202
Morrisania,400% FPL and above,2014,Number,672.2259,203
East Tremont,400% FPL and above,2014,Number,701.7741,206
Lower East Side,Below 100% FPL,2013,Number,7616,103
Murray Hill/Stuyvesant,Below 100% FPL,2013,Number,86,106
Upper West Side,Below 100% FPL,2013,Number,3130,107
Upper East Side,Below 100% FPL,2013,Number,1647,108
Manhattanville,Below 100% FPL,2013,Number,7158,109
Central Harlem,Below 100% FPL,2013,Number,11048,110
East Harlem,Below 100% FPL,2013,Number,10727,111
Washington Heights,Below 100% FPL,2013,Number,14399,112
Concourse/Highbridge,Below 100% FPL,2013,Number,19109,204
University Heights,Below 100% FPL,2013,Number,18843,205
Bedford Park,Below 100% FPL,2013,Number,14280,207
Riverdale,Below 100% FPL,2013,Number,5286,208
Unionport/Soundview,Below 100% FPL,2013,Number,18760,209
Throgs Neck,Below 100% FPL,2013,Number,3255,210
Pelham Parkway,Below 100% FPL,2013,Number,8514,211
Williamsbridge,Below 100% FPL,2013,Number,11414,212
Williamsburg/Greenpoint,Below 100% FPL,2013,Number,16339,301
Fort Greene/Brooklyn Hts,Below 100% FPL,2013,Number,5891,302
Bedford Stuyvesant,Below 100% FPL,2013,Number,18177,303
Bushwick,Below 100% FPL,2013,Number,12658,304
East New York,Below 100% FPL,2013,Number,16314,305
Park Slope,Below 100% FPL,2013,Number,2273,306
Sunset Park,Below 100% FPL,2013,Number,15316,307
Crown Heights North,Below 100% FPL,2013,Number,9504,308
Crown Heights South,Below 100% FPL,2013,Number,6675,309
Bay Ridge,Below 100% FPL,2013,Number,5158,310
Bensonhurst,Below 100% FPL,2013,Number,9416,311
Borough Park,Below 100% FPL,2013,Number,25205,312
Coney Island,Below 100% FPL,2013,Number,5489,313
Flatbush/Midwood,Below 100% FPL,2013,Number,10716,314
Sheepshead Bay,Below 100% FPL,2013,Number,7065,315
Brownsville,Below 100% FPL,2013,Number,18099,316
East Flatbush,Below 100% FPL,2013,Number,7729,317
Canarsie,Below 100% FPL,2013,Number,8306,318
Astoria,Below 100% FPL,2013,Number,6454,401
Sunnyside/Woodside,Below 100% FPL,2013,Number,5561,402
Jackson Heights,Below 100% FPL,2013,Number,11995,403
Elmhurst/Corona,Below 100% FPL,2013,Number,9132,404
Ridgewood/Glendale,Below 100% FPL,2013,Number,7037,405
Rego Park/Forest Hills,Below 100% FPL,2013,Number,2148,406
Flushing,Below 100% FPL,2013,Number,7557,407
Fresh Meadows/Briarwood,Below 100% FPL,2013,Number,7602,408
Woodhaven,Below 100% FPL,2013,Number,8579,409
Howard Beach,Below 100% FPL,2013,Number,5219,410
Bayside,Below 100% FPL,2013,Number,2514,411
Jamaica/St. Albans,Below 100% FPL,2013,Number,15190,412
Queens Village,Below 100% FPL,2013,Number,5585,413
The Rockaways,Below 100% FPL,2013,Number,8083,414
St. George,Below 100% FPL,2013,Number,12933,501
South Beach,Below 100% FPL,2013,Number,3298,502
Tottenville,Below 100% FPL,2013,Number,2405,503
Battery Park/Tribeca,Below 100% FPL,2013,Number,316.20974,101
Greenwich Village,Below 100% FPL,2013,Number,466.79026,102
Chelsea/Clinton,Below 100% FPL,2013,Number,1271.58535,104
Midtown Business District,Below 100% FPL,2013,Number,636.41465,105
Mott Haven,Below 100% FPL,2013,Number,15691.14703,201
Hunts Point,Below 100% FPL,2013,Number,8959.85297,202
Morrisania,Below 100% FPL,2013,Number,12891.17916,203
East Tremont,Below 100% FPL,2013,Number,13457.82084,206
Lower East Side,100 to 199% FPL,2013,Number,5207,103
Murray Hill/Stuyvesant,100 to 199% FPL,2013,Number,1554,106
Upper West Side,100 to 199% FPL,2013,Number,1155,107
Upper East Side,100 to 199% FPL,2013,Number,280,108
Manhattanville,100 to 199% FPL,2013,Number,4900,109
Central Harlem,100 to 199% FPL,2013,Number,8358,110
East Harlem,100 to 199% FPL,2013,Number,7766,111
Washington Heights,100 to 199% FPL,2013,Number,12030,112
Concourse/Highbridge,100 to 199% FPL,2013,Number,12651,204
University Heights,100 to 199% FPL,2013,Number,8859,205
Bedford Park,100 to 199% FPL,2013,Number,10093,207
Riverdale,100 to 199% FPL,2013,Number,4627,208
Unionport/Soundview,100 to 199% FPL,2013,Number,12623,209
Throgs Neck,100 to 199% FPL,2013,Number,4755,210
Pelham Parkway,100 to 199% FPL,2013,Number,7052,211
Williamsbridge,100 to 199% FPL,2013,Number,8967,212
Williamsburg/Greenpoint,100 to 199% FPL,2013,Number,6735,301
Fort Greene/Brooklyn Hts,100 to 199% FPL,2013,Number,2736,302
Bedford Stuyvesant,100 to 199% FPL,2013,Number,7843,303
Bushwick,100 to 199% FPL,2013,Number,8885,304
East New York,100 to 199% FPL,2013,Number,11904,305
Park Slope,100 to 199% FPL,2013,Number,1297,306
Sunset Park,100 to 199% FPL,2013,Number,9278,307
Crown Heights North,100 to 199% FPL,2013,Number,5624,308
Crown Heights South,100 to 199% FPL,2013,Number,7663,309
Bay Ridge,100 to 199% FPL,2013,Number,7082,310
Bensonhurst,100 to 199% FPL,2013,Number,9142,311
Borough Park,100 to 199% FPL,2013,Number,16700,312
Coney Island,100 to 199% FPL,2013,Number,4263,313
Flatbush/Midwood,100 to 199% FPL,2013,Number,11079,314
Sheepshead Bay,100 to 199% FPL,2013,Number,8630,315
Brownsville,100 to 199% FPL,2013,Number,8387,316
East Flatbush,100 to 199% FPL,2013,Number,7616,317
Canarsie,100 to 199% FPL,2013,Number,9663,318
Astoria,100 to 199% FPL,2013,Number,7211,401
Sunnyside/Woodside,100 to 199% FPL,2013,Number,6072,402
Jackson Heights,100 to 199% FPL,2013,Number,11119,403
Elmhurst/Corona,100 to 199% FPL,2013,Number,9463,404
Ridgewood/Glendale,100 to 199% FPL,2013,Number,7133,405
Rego Park/Forest Hills,100 to 199% FPL,2013,Number,2896,406
Flushing,100 to 199% FPL,2013,Number,11664,407
Fresh Meadows/Briarwood,100 to 199% FPL,2013,Number,4440,408
Woodhaven,100 to 199% FPL,2013,Number,7688,409
Howard Beach,100 to 199% FPL,2013,Number,7145,410
Bayside,100 to 199% FPL,2013,Number,4298,411
Jamaica/St. Albans,100 to 199% FPL,2013,Number,14284,412
Queens Village,100 to 199% FPL,2013,Number,6019,413
The Rockaways,100 to 199% FPL,2013,Number,6968,414
St. George,100 to 199% FPL,2013,Number,9628,501
South Beach,100 to 199% FPL,2013,Number,5095,502
Tottenville,100 to 199% FPL,2013,Number,3999,503
Battery Park/Tribeca,100 to 199% FPL,2013,Number,151.44145,101
Greenwich Village,100 to 199% FPL,2013,Number,223.55855,102
Chelsea/Clinton,100 to 199% FPL,2013,Number,839.05973,104
Midtown Business District,100 to 199% FPL,2013,Number,419.94027,105
Mott Haven,100 to 199% FPL,2013,Number,8181.9806,201
Hunts Point,100 to 199% FPL,2013,Number,4672.0194,202
Morrisania,100 to 199% FPL,2013,Number,6748.18908,203
East Tremont,100 to 199% FPL,2013,Number,7044.81092,206
Lower East Side,Below 200% FPL,2013,Number,12823,103
Murray Hill/Stuyvesant,Below 200% FPL,2013,Number,1640,106
Upper West Side,Below 200% FPL,2013,Number,4285,107
Upper East Side,Below 200% FPL,2013,Number,1927,108
Manhattanville,Below 200% FPL,2013,Number,12058,109
Central Harlem,Below 200% FPL,2013,Number,19406,110
East Harlem,Below 200% FPL,2013,Number,18493,111
Washington Heights,Below 200% FPL,2013,Number,26429,112
Concourse/Highbridge,Below 200% FPL,2013,Number,31760,204
University Heights,Below 200% FPL,2013,Number,27702,205
Bedford Park,Below 200% FPL,2013,Number,24373,207
Riverdale,Below 200% FPL,2013,Number,9913,208
Unionport/Soundview,Below 200% FPL,2013,Number,31383,209
Throgs Neck,Below 200% FPL,2013,Number,8010,210
Pelham Parkway,Below 200% FPL,2013,Number,15566,211
Williamsbridge,Below 200% FPL,2013,Number,20381,212
Williamsburg/Greenpoint,Below 200% FPL,2013,Number,23074,301
Fort Greene/Brooklyn Hts,Below 200% FPL,2013,Number,8627,302
Bedford Stuyvesant,Below 200% FPL,2013,Number,26020,303
Bushwick,Below 200% FPL,2013,Number,21543,304
East New York,Below 200% FPL,2013,Number,28218,305
Park Slope,Below 200% FPL,2013,Number,3570,306
Sunset Park,Below 200% FPL,2013,Number,24594,307
Crown Heights North,Below 200% FPL,2013,Number,15128,308
Crown Heights South,Below 200% FPL,2013,Number,14338,309
Bay Ridge,Below 200% FPL,2013,Number,12240,310
Bensonhurst,Below 200% FPL,2013,Number,18558,311
Borough Park,Below 200% FPL,2013,Number,41905,312
Coney Island,Below 200% FPL,2013,Number,9752,313
Flatbush/Midwood,Below 200% FPL,2013,Number,21795,314
Sheepshead Bay,Below 200% FPL,2013,Number,15695,315
Brownsville,Below 200% FPL,2013,Number,26486,316
East Flatbush,Below 200% FPL,2013,Number,15345,317
Canarsie,Below 200% FPL,2013,Number,17969,318
Astoria,Below 200% FPL,2013,Number,13665,401
Sunnyside/Woodside,Below 200% FPL,2013,Number,11633,402
Jackson Heights,Below 200% FPL,2013,Number,23114,403
Elmhurst/Corona,Below 200% FPL,2013,Number,18595,404
Ridgewood/Glendale,Below 200% FPL,2013,Number,14170,405
Rego Park/Forest Hills,Below 200% FPL,2013,Number,5044,406
Flushing,Below 200% FPL,2013,Number,19221,407
Fresh Meadows/Briarwood,Below 200% FPL,2013,Number,12042,408
Woodhaven,Below 200% FPL,2013,Number,16267,409
Howard Beach,Below 200% FPL,2013,Number,12364,410
Bayside,Below 200% FPL,2013,Number,6812,411
Jamaica/St. Albans,Below 200% FPL,2013,Number,29474,412
Queens Village,Below 200% FPL,2013,Number,11604,413
The Rockaways,Below 200% FPL,2013,Number,15051,414
St. George,Below 200% FPL,2013,Number,22561,501
South Beach,Below 200% FPL,2013,Number,8393,502
Tottenville,Below 200% FPL,2013,Number,6404,503
Battery Park/Tribeca,Below 200% FPL,2013,Number,467.65119,101
Greenwich Village,Below 200% FPL,2013,Number,690.34881,102
Chelsea/Clinton,Below 200% FPL,2013,Number,2110.64508,104
Midtown Business District,Below 200% FPL,2013,Number,1056.35492,105
Mott Haven,Below 200% FPL,2013,Number,23873.12763,201
Hunts Point,Below 200% FPL,2013,Number,13631.87237,202
Morrisania,Below 200% FPL,2013,Number,19639.36824,203
East Tremont,Below 200% FPL,2013,Number,20502.63176,206
Lower East Side,200 to 399% FPL,2013,Number,4298,103
Murray Hill/Stuyvesant,200 to 399% FPL,2013,Number,911,106
Upper West Side,200 to 399% FPL,2013,Number,2364,107
Upper East Side,200 to 399% FPL,2013,Number,2450,108
Manhattanville,200 to 399% FPL,2013,Number,3603,109
Central Harlem,200 to 399% FPL,2013,Number,6616,110
East Harlem,200 to 399% FPL,2013,Number,4617,111
Washington Heights,200 to 399% FPL,2013,Number,7231,112
Concourse/Highbridge,200 to 399% FPL,2013,Number,6048,204
University Heights,200 to 399% FPL,2013,Number,6282,205
Bedford Park,200 to 399% FPL,2013,Number,6895,207
Riverdale,200 to 399% FPL,2013,Number,6239,208
Unionport/Soundview,200 to 399% FPL,2013,Number,10233,209
Throgs Neck,200 to 399% FPL,2013,Number,8403,210
Pelham Parkway,200 to 399% FPL,2013,Number,8524,211
Williamsbridge,200 to 399% FPL,2013,Number,9308,212
Williamsburg/Greenpoint,200 to 399% FPL,2013,Number,4695,301
Fort Greene/Brooklyn Hts,200 to 399% FPL,2013,Number,3753,302
Bedford Stuyvesant,200 to 399% FPL,2013,Number,7150,303
Bushwick,200 to 399% FPL,2013,Number,9304,304
East New York,200 to 399% FPL,2013,Number,10408,305
Park Slope,200 to 399% FPL,2013,Number,3134,306
Sunset Park,200 to 399% FPL,2013,Number,7371,307
Crown Heights North,200 to 399% FPL,2013,Number,6282,308
Crown Heights South,200 to 399% FPL,2013,Number,8099,309
Bay Ridge,200 to 399% FPL,2013,Number,7369,310
Bensonhurst,200 to 399% FPL,2013,Number,11258,311
Borough Park,200 to 399% FPL,2013,Number,9385,312
Coney Island,200 to 399% FPL,2013,Number,3199,313
Flatbush/Midwood,200 to 399% FPL,2013,Number,10085,314
Sheepshead Bay,200 to 399% FPL,2013,Number,8213,315
Brownsville,200 to 399% FPL,2013,Number,7435,316
East Flatbush,200 to 399% FPL,2013,Number,9964,317
Canarsie,200 to 399% FPL,2013,Number,13835,318
Astoria,200 to 399% FPL,2013,Number,6209,401
Sunnyside/Woodside,200 to 399% FPL,2013,Number,6112,402
Jackson Heights,200 to 399% FPL,2013,Number,9379,403
Elmhurst/Corona,200 to 399% FPL,2013,Number,8564,404
Ridgewood/Glendale,200 to 399% FPL,2013,Number,11215,405
Rego Park/Forest Hills,200 to 399% FPL,2013,Number,5151,406
Flushing,200 to 399% FPL,2013,Number,13007,407
Fresh Meadows/Briarwood,200 to 399% FPL,2013,Number,9985,408
Woodhaven,200 to 399% FPL,2013,Number,12557,409
Howard Beach,200 to 399% FPL,2013,Number,8411,410
Bayside,200 to 399% FPL,2013,Number,7064,411
Jamaica/St. Albans,200 to 399% FPL,2013,Number,17281,412
Queens Village,200 to 399% FPL,2013,Number,15848,413
The Rockaways,200 to 399% FPL,2013,Number,8439,414
St. George,200 to 399% FPL,2013,Number,10773,501
South Beach,200 to 399% FPL,2013,Number,6666,502
Tottenville,200 to 399% FPL,2013,Number,11105,503
Battery Park/Tribeca,200 to 399% FPL,2013,Number,867.05277,101
Greenwich Village,200 to 399% FPL,2013,Number,1279.94723,102
Chelsea/Clinton,200 to 399% FPL,2013,Number,1107.63882,104
Midtown Business District,200 to 399% FPL,2013,Number,554.36118,105
Mott Haven,200 to 399% FPL,2013,Number,4044.52348,201
Hunts Point,200 to 399% FPL,2013,Number,2309.47652,202
Morrisania,200 to 399% FPL,2013,Number,4249.60272,203
East Tremont,200 to 399% FPL,2013,Number,4436.39728,206
Lower East Side,400% FPL and above,2013,Number,3455,103
Murray Hill/Stuyvesant,400% FPL and above,2013,Number,7535,106
Upper West Side,400% FPL and above,2013,Number,20883,107
Upper East Side,400% FPL and above,2013,Number,26560,108
Manhattanville,400% FPL and above,2013,Number,4828,109
Central Harlem,400% FPL and above,2013,Number,4535,110
East Harlem,400% FPL and above,2013,Number,2515,111
Washington Heights,400% FPL and above,2013,Number,4531,112
Concourse/Highbridge,400% FPL and above,2013,Number,1520,204
University Heights,400% FPL and above,2013,Number,1264,205
Bedford Park,400% FPL and above,2013,Number,1620,207
Riverdale,400% FPL and above,2013,Number,6341,208
Unionport/Soundview,400% FPL and above,2013,Number,3817,209
Throgs Neck,400% FPL and above,2013,Number,7976,210
Pelham Parkway,400% FPL and above,2013,Number,5083,211
Williamsbridge,400% FPL and above,2013,Number,5477,212
Williamsburg/Greenpoint,400% FPL and above,2013,Number,3957,301
Fort Greene/Brooklyn Hts,400% FPL and above,2013,Number,8736,302
Bedford Stuyvesant,400% FPL and above,2013,Number,4421,303
Bushwick,400% FPL and above,2013,Number,1898,304
East New York,400% FPL and above,2013,Number,3522,305
Park Slope,400% FPL and above,2013,Number,14194,306
Sunset Park,400% FPL and above,2013,Number,4160,307
Crown Heights North,400% FPL and above,2013,Number,4250,308
Crown Heights South,400% FPL and above,2013,Number,3163,309
Bay Ridge,400% FPL and above,2013,Number,7367,310
Bensonhurst,400% FPL and above,2013,Number,6786,311
Borough Park,400% FPL and above,2013,Number,4692,312
Coney Island,400% FPL and above,2013,Number,4183,313
Flatbush/Midwood,400% FPL and above,2013,Number,6221,314
Sheepshead Bay,400% FPL and above,2013,Number,9031,315
Brownsville,400% FPL and above,2013,Number,3048,316
East Flatbush,400% FPL and above,2013,Number,4406,317
Canarsie,400% FPL and above,2013,Number,14796,318
Astoria,400% FPL and above,2013,Number,5893,401
Sunnyside/Woodside,400% FPL and above,2013,Number,5832,402
